gender,tournaments,total_rows,kata_name,performances,wins,unique_athletes,total_performances,usage_pct,win_rate,adjusted_win_rate
male,6,949,Gojushiho Sho,115,60,82,949,12.118018967334036,52.17391304347826,51.8596573391094
male,6,949,Suparinpei,106,60,57,949,11.169652265542677,56.60377358490566,55.56391857761721
male,6,949,Unsu,91,40,64,949,9.58904109589041,43.956043956043956,45.05453820522314
male,6,949,Gojushiho Dai,91,39,67,949,9.58904109589041,42.857142857142854,44.15363730432224
male,6,949,Papuren,72,30,45,949,7.586933614330875,41.66666666666667,43.489714573693135
male,6,949,Anan Dai,53,25,39,949,5.584826132771338,47.16981132075472,47.95964028465436
male,6,949,Ohan Dai,52,19,38,949,5.47945205479452,36.53846153846153,40.29241306638567
male,6,949,Anan,50,34,34,949,5.268703898840886,68.0,62.87219629685383
male,6,949,Kanku Sho,40,18,34,949,4.214963119072708,45.0,46.684229012996134
male,6,949,Chibana No Kushanku,40,14,30,949,4.214963119072708,35.0,40.01756234632946
male,6,949,Kururunfa,39,31,23,949,4.10958904109589,79.48717948717949,69.50938543694522
male,6,949,Chatanyara Kushanku,39,9,25,949,4.10958904109589,23.076923076923077,32.221249843724884
male,6,949,Gankaku,28,6,20,949,2.9504741833508956,21.428571428571427,33.35528626624517
male,6,949,Sochin,27,17,16,949,2.845100105374078,62.96296296296296,57.46922852722911
male,6,949,Ohan,23,15,18,949,2.423603793466807,65.21739130434783,58.164040483250425
male,6,949,Nipaipo,17,13,8,949,1.7913593256059008,76.47058823529412,62.190641642696434
male,6,949,Enpi,13,9,11,949,1.36986301369863,69.23076923076923,57.60768911453843
male,6,949,Seisan,9,9,4,949,0.9483667017913594,100.0,65.55357726826787
male,6,949,Shisochin,9,7,5,949,0.9483667017913594,77.77777777777779,58.65702554412994
male,6,949,Nijushiho,7,6,4,949,0.7376185458377239,85.71428571428571,59.29828669554696
male,6,949,Kishimoto No Kushanku,5,3,4,949,0.5268703898840885,60.0,52.042149631190725
male,6,949,Unshu,5,3,3,949,0.5268703898840885,60.0,52.042149631190725
male,6,949,Paiku,4,3,2,949,0.42149631190727077,75.0,54.21057253249034
male,6,949,Sansai,4,0,4,949,0.42149631190727077,0.0,41.71057253249034
male,6,949,Seipai,3,2,2,949,0.31612223393045313,66.66666666666666,52.219727859989916
male,6,949,Gojushiho,2,1,1,949,0.21074815595363539,50.0,50.04789730817127
male,6,949,Pachu,1,1,1,949,0.10537407797681769,100.0,52.43113051332229
male,6,949,Sanseiru,1,1,1,949,0.10537407797681769,100.0,52.43113051332229
male,6,949,Jitte,1,0,1,949,0.10537407797681769,0.0,47.669225751417535
male,6,949,Kusanku,1,0,1,949,0.10537407797681769,0.0,47.669225751417535
male,6,949,Sanseru,1,0,1,949,0.10537407797681769,0.0,47.669225751417535
